compressionCurves X,compressionCurves Y
-1,18.06336493787094
-0.9,18.07481607971886
-0.8,18.08611661987839
-0.7,18.09726838425688
-0.6,18.10827232976874
-0.5,18.1191305281276
-0.4,18.12984594908136
-0.3,18.14042114134789
-0.2,18.15085860515721
-0.1,18.16116194367045
0,18.17133504919432
0.1,18.18137879519268
0.2,18.19129072844062
0.3,18.20107045049272
0.4,18.21072074776311
0.5,18.22024446840309
0.6,18.22964365578655
0.7,18.2389211884228
0.8,18.24808047527859
0.9,18.25712190321583
1,18.26604106544345
1.1,18.27483525760192
1.2,18.28350688146806
1.3,18.29205991381679
1.4,18.30049725706154
1.5,18.30882136284173
1.6,18.31703376086034
1.7,18.32513321742001
1.8,18.33311485375117
1.9,18.3409737475613
2,18.34871003127241
2.1,18.35632781306369
2.2,18.36383172798415
2.3,18.37122465664979
2.4,18.37850724830166
2.5,18.38567609748347
2.6,18.3927257137545
2.7,18.39965114635972
2.8,18.40644945460668
2.9,18.41312130745141
3,18.41967143801185
3.1,18.42610480146973
3.2,18.43242450058186
3.3,18.4386305276375
3.4,18.44471867332206
3.5,18.45068339409554
3.6,18.45652216605335
3.7,18.46223414490643
3.8,18.46781927570367
3.9,18.47328018012566
4,18.47862211454592
4.1,18.4838498836131
4.2,18.48896690113774
4.3,18.49397469480826
4.4,18.49887255275557
4.5,18.503658366402
4.6,18.50833138813402
4.7,18.51289299921597
4.8,18.51734514806025
4.9,18.52168988478619
5,18.52593046358311
5.1,18.53007126933957
5.2,18.53411634337153
5.3,18.53806911272945
5.4,18.54193200020356
5.5,18.54570652437789
5.6,18.54939357577984
5.7,18.5529942056515
5.8,18.5565101641908
5.9,18.55994323014895
6,18.56329427806433
6.1,18.56648797586908
6.2,18.56967570086758
6.3,18.57278385457032
6.4,18.57581262736462
6.5,18.57883369164243
6.6,18.58170340024609
6.7,18.58449448393426
6.8,18.58720633690758
6.9,18.58983844661652
7,18.59239048885471
7.1,18.59486239070558
7.2,18.59725416084614
7.3,18.59956570576485
7.4,18.60179700572554
7.5,18.60394893849817
7.6,18.60602462881936
7.7,18.60802951374239
7.8,18.60996524932994
7.9,18.61171528950738
8,18.61345370619431
8.1,18.61511691593206
8.199999999999999,18.61671062984803
8.300000000000001,18.61824145295724
8.4,18.61969759174857
8.5,18.62108651805409
8.6,18.62240866650751
8.699999999999999,18.62366793771799
8.800000000000001,18.62487013642021
8.9,18.62602294093965
9,18.62713526856161
9.1,18.62821731253631
9.199999999999999,18.62927948897631
9.300000000000001,18.63032966764365
9.4,18.63136993657024
9.5,18.63239661695805
