/V0/PLUS (Vgs1=0.9) X,/V0/PLUS (Vgs1=0.9) Y,/V0/PLUS (Vgs1=1.8) X,/V0/PLUS (Vgs1=1.8) Y,/V0/PLUS (Vgs1=2.7) X,/V0/PLUS (Vgs1=2.7) Y
2.537999999999832,-0.05564891462649731,2.537999999999832,-0.1280420298431202,  ,  
2.538999999999831,-0.05565019380351079,2.538999999999831,-0.1280466754502711,  ,  
2.539999999999831,-0.05565147176365996,2.539999999999831,-0.1280513177907173,  ,  
2.540999999999831,-0.05565274851311337,2.540999999999831,-0.1280559568725312,  ,  
2.541999999999831,-0.05565402405799862,2.541999999999831,-0.1280605927037543,  ,  
2.542999999999831,-0.05565529840440202,2.542999999999831,-0.1280652252923976,  ,  
2.543999999999831,-0.05565657155836819,2.543999999999831,-0.128069854646442,  ,  
2.544999999999831,-0.0556578435259019,2.544999999999831,-0.1280744807738352,  ,  
2.545999999999831,-0.05565911431296795,2.545999999999831,-0.1280791036824974,  ,  
2.546999999999831,-0.05566038392549081,2.546999999999831,-0.1280837233803159,  ,  
2.54799999999983,-0.05566165236935511,2.54799999999983,-0.1280883398751504,  ,  
2.54899999999983,-0.05566291965040741,2.54899999999983,-0.1280929531748281,  ,  
2.54999999999983,-0.05566418577445442,2.54999999999983,-0.1280975632871478,  ,  
2.55099999999983,-0.05566545074726439,2.55099999999983,-0.1281021702198782,  ,  
2.55199999999983,-0.05566671457456724,2.55199999999983,-0.1281067739807572,  ,  
2.55299999999983,-0.05566797726205539,2.55299999999983,-0.1281113745774956,  ,  
2.55399999999983,-0.05566923881538274,2.55399999999983,-0.1281159720177719,  ,  
2.55499999999983,-0.05567049924016683,2.55499999999983,-0.1281205663092383,  ,  
2.55599999999983,-0.05567175854198762,2.55599999999983,-0.1281251574595161,  ,  
2.556999999999829,-0.05567301672638809,2.556999999999829,-0.1281297454761975,  ,  
2.557999999999829,-0.05567427379887498,2.557999999999829,-0.1281343303668475,  ,  
2.558999999999829,-0.0556755297649183,2.558999999999829,-0.1281389121390008,  ,  
2.559999999999829,-0.05567678462995406,2.559999999999829,-0.1281434908001649,  ,  
2.560999999999829,-0.05567803839937988,2.560999999999829,-0.1281480663578181,  ,  
2.561999999999829,-0.05567929107856059,2.561999999999829,-0.1281526388194105,  ,  
2.562999999999829,-0.05568054267282388,2.562999999999829,-0.1281572081923636,  ,  
2.563999999999829,-0.05568179318746407,2.563999999999829,-0.1281617744840723,  ,  
2.564999999999829,-0.05568304262774069,2.564999999999829,-0.1281663377019026,  ,  
2.565999999999828,-0.05568429099887864,2.565999999999828,-0.1281708978531934,  ,  
2.566999999999828,-0.05568553830606912,2.566999999999828,-0.1281754549452553,  ,  
2.567999999999828,-0.05568678455446945,2.567999999999828,-0.128180008985372,  ,  
2.568999999999828,-0.05568802974920409,2.568999999999828,-0.1281845599807998,  ,  
2.569999999999828,-0.05568927389536405,2.569999999999828,-0.1281891079387667,  ,  
2.570999999999828,-0.05569051699800659,2.570999999999828,-0.1281936528664764,  ,  
2.571999999999828,-0.05569175906215783,2.571999999999828,-0.1281981947711025,  ,  
2.572999999999828,-0.05569300009281027,2.572999999999828,-0.1282027336597934,  ,  
2.573999999999828,-0.05569424009492531,2.573999999999828,-0.1282072695396709,  ,  
2.574999999999827,-0.05569547907343203,2.574999999999827,-0.1282118024178297,  ,  
