NF dB10 X,NF dB10 Y
12140000000,75.12600095251634
12150000000,75.0790434262633
12160000000,75.03208630090491
12170000000,74.98512951031346
12180000000,74.93817298838579
12190000000,74.89121666905264
12200000000,74.84426048626649
12210000000,74.79730437401881
12220000000,74.75034826631685
12230000000,74.70339209720986
12240000000,74.65643580076372
12250000000,74.60947931108338
12260000000,74.56252256228332
12270000000,74.5155654885169
12280000000,74.46860802396129
12290000000,74.42165010281417
12300000000,74.37469165930028
12310000000,74.32773262766564
12320000000,74.28077294218292
12330000000,74.23381253714868
12340000000,74.1868513468774
12350000000,74.13988930570953
12360000000,74.09292634800467
12370000000,74.04596240814161
12380000000,73.99899742052317
12390000000,73.95203131956941
12400000000,73.90506403972321
12410000000,73.85809551544689
12420000000,73.81112568120724
12430000000,73.76415447150896
12440000000,73.71718182086509
